Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
19536,Oneida,ROME (C),Rome (C),"Kessinger Dam Rehabilitation, Upgrade Surface Water Source",37300,14400000,35,976469290
18801,Orange,MIDDLETOWN (C),Middletown (C),"Phase 1A - Kinch Pond to Greenville Turnpike Raw Water Main Replacement, Upgrade Transmission",30452,8389500,35,984858790
19483,Orange,MIDDLETOWN (C),Middletown (C),"Phase 1B - Greenville Turnpike to Shawangunk Reservoir Raw Water Main Replacement, Upgrade Transmission",30452,9713930,35,994572720
19589,Cortland,CORTLAND (C),Cortland (C),"Groton Ave Improvements Project, Upgrade Distribution System",18670,2320361,35,996893081
19518,St. Lawrence,CANTON (V),Canton (V),"Transmission Main Upgrades and Water Storage Tank Replacement, Upgrade Transmission, Upgrade Storage",6314,17841238,35,1014734319
18761,Wyoming,WARSAW (T),Warsaw (T),"WD No. 1 WM Replacement Saltvale Rd., Upgrade Distribution System",5316,1397000,35,1016131319
19832,Greene,CATSKILL (V),Catskill (V),"Replacement of approximately 4,685 LF of Watermain.",3833,5000000,35,1021131319
19749,Orange,OTISVILLE (V),Otisville (V),"Water Storage and Distribution System Upgrades, Upgrade Storage, New Storage, Upgrade Distribution System",2169,14782560,35,1035913879
18544,Broome,PORT DICKINSON (V),Port Dickinson (V),"Replace Aged Water Mains Chenango St. and Rochelle Rd., Upgrade Distribution System",1699,7200000,35,1043113879
19549,Livingston,GENESEO (V),Geneseo (V),"Replace WM approx 3,300 LF on Oak and Second Streets, Upgrade Distribution System",240,2037550,35,1045151429
18925,Wayne,CLYDE (V),Clyde (V),"Main replacement on Glasgow St., Upgrade Distribution System",226,2950000,35,1048101429
19523,St. Lawrence,OGDENSBURG (C),Ogdensburg (C),"East David St. Infrastructure Replacement Project, Upgrade Distribution System",30,1926100,35,1050027529
19570,Westchester,PEEKSKILL (C),Peekskill (C),"Camp Field Reservoir dredging, Lower Wiccopee Dam spillway modifications, and water main replacement, Upgrade Surface Water Source, Upgrade Distribution System",25514,8166000,30,1058193529
19226,Niagara,PORTER (T),Porter (T),"Replacement of WM on 5 Areas of the Town, Upgrade Distribution System",6070,6785000,30,1064978529
