68,"DELAVAN, CITY OF",5315-02,Construct Elevated Tank,"$3,500,000.00",SE,Binder,
68,"TURTLE LAKE, VILLAGE OF",5164-15,Reconstruct Well No. 2,"$2,665,000.00",NO,Andruczyk,
68,"OREGON, VILLAGE OF",4873-07,Rehab Well #5,"$2,000,000.00",SC,Zettl,
68,"PORT EDWARDS, VILLAGE OF",5588-01,Replace WMs & Services Along 2nd St,"$891,987.00",WC,Jaromin,
67,"EDGERTON, CITY OF",4800-11,Replace WM on Albion Street,"$600,000.00",SC,Zettl,
67,"CHETEK, CITY OF",4781-09,Replace WM on Douglas and Banks,"$450,000.00",NO,Andruczyk,
66,"MARATHON CITY, VILLAGE OF",5362-02,Construct Well 5,"$3,000,000.00",WC,Jaromin,
66,"BLOOMINGTON, VILLAGE OF",5065-07,Rehab Well #1,"$429,000.00",SC,Zettl,
66,LAONA SD #1,5529-05,Rehab Well No. 1,"$1,000,000.00",NO,Andruczyk,
66,"ASHLAND, CITY OF",4759-34,Replace WM on Chapple Ave,"$535,000.00",NO,Andruczyk,
65,"RHINELANDER, CITY OF",5288-14,"Replace WMs:Hillside, Highview, Hillandale, Lynette, Annette","$7,763,000.00",NO,Andruczyk,
64,"FLORENCE, TOWN OF",5456-13,Rehab Water Tower,"$697,847.00",NO,Andruczyk,
64,"KEWAUNEE, CITY OF",5508-09,Replace WM on Dodge St,"$4,400,000.00",NE,Hannes,
64,"CLYMAN, VILLAGE OF",5609-07,Replace WM on First St,"$400,000.00",SC,Zettl,
64,"RICE LAKE, CITY OF",5513-09,Replace WM on Wisconsin Ave,"$567,813.00",NO,Andruczyk,
62,DRUMMOND SD #1,5371-02,Improve Distribution - Watermain Looping at USH 63,"$237,000.00",NO,Andruczyk,
62,"REWEY, VILLAGE OF",5287-05,Reconfigure Piping for Well #2,"$85,000.00",SC,Zettl,
62,SHELBY SD #2,4902-11,Treat Well #2 for Fe,"$2,343,250.00",WC,Jaromin,
60,"NEW GLARUS, VILLAGE OF",5623-08,Construct Booster Station,"$1,600,000.00",SC,Zettl,
60,"MENOMONIE, CITY OF",4846-09,Construct New Well #9,"$7,943,586.00",WC,Jaromin,
60,"SURING, VILLAGE OF",5213-11,Construct redundant WM River Crossing,"$1,669,203.00",NE,Hannes,
